# DecayCore target curve
# Target: BK_Light
# Frequency_Hz Magnitude_dB
10.000000 2.500000
10.192325 2.500000
10.388349 2.500000
10.588142 2.500000
10.791779 2.500000
10.999331 2.500000
11.210876 2.500000
11.426489 2.500000
11.646249 2.500000
11.870235 2.500000
12.098529 2.500000
12.331214 2.500000
12.568374 2.500000
12.810095 2.500000
13.056465 2.500000
13.307573 2.500000
13.563511 2.500000
13.824371 2.500000
14.090248 2.500000
14.361239 2.500000
14.637441 2.500000
14.918956 2.500000
15.205884 2.500000
15.498331 2.500000
15.796403 2.500000
16.100207 2.500000
16.409854 2.500000
16.725456 2.500000
17.047128 2.500000
17.374987 2.500000
17.709151 2.500000
18.049742 2.500000
18.396884 2.500000
18.750701 2.500000
19.111324 2.500000
19.478882 2.500000
19.853510 2.500000
20.235342 2.495293
20.624518 2.487510
21.021179 2.479576
21.425468 2.471491
21.837533 2.463249
22.257524 2.454850
22.685591 2.446288
23.121891 2.437562
23.566583 2.428668
24.019827 2.419603
24.481788 2.410364
24.952634 2.400947
25.432535 2.393346
25.921666 2.385821
26.420204 2.378151
26.928330 2.370333
27.446229 2.362366
27.974088 2.354245
28.512099 2.345968
29.060458 2.337531
29.619363 2.328933
30.189017 2.320169
30.769627 2.311237
31.361403 2.302132
31.964561 2.289069
32.579319 2.274604
33.205901 2.259861
33.844533 2.244835
34.495447 2.229519
35.158880 2.213909
35.835073 2.197998
36.524271 2.181782
37.226723 2.165254
37.942686 2.148407
38.672418 2.131237
39.416185 2.113737
40.174256 2.096515
40.946907 2.081062
41.734418 2.065312
42.537075 2.049259
43.355168 2.032897
44.188996 2.016220
45.038860 1.999223
45.905070 1.981899
46.787938 1.964241
47.687787 1.946244
48.604942 1.927901
49.539735 1.909205
50.492508 1.888634
51.463604 1.866225
52.453377 1.843384
53.462186 1.820103
54.490397 1.796375
55.538383 1.772191
56.606524 1.747542
57.695209 1.722418
58.804831 1.696812
59.935794 1.670712
61.088509 1.644111
62.263393 1.616999
63.460873 1.591867
64.681383 1.570329
65.925367 1.548376
67.193276 1.526001
68.485570 1.503196
69.802717 1.479952
71.145197 1.456261
72.513496 1.432115
73.908111 1.407504
75.329548 1.382420
76.778323 1.356853
78.254961 1.330795
79.759998 1.304235
81.293982 1.280590
82.857467 1.257138
84.451022 1.233235
86.075226 1.208872
87.730666 1.184040
89.417945 1.158731
91.137675 1.132935
92.890479 1.106643
94.676994 1.079845
96.497868 1.052532
98.353762 1.024694
100.245349 0.997056
102.173317 0.973920
104.138364 0.950340
106.141204 0.926306
108.182563 0.901809
110.263183 0.876842
112.383818 0.851394
114.545239 0.825457
116.748228 0.799021
118.993587 0.772077
121.282130 0.744614
123.614687 0.716624
125.992105 0.691496
128.415247 0.670726
130.884991 0.649557
133.402235 0.627981
135.967892 0.605989
138.582893 0.583575
141.248187 0.560730
143.964741 0.537445
146.733541 0.513713
149.555592 0.489524
152.431918 0.464869
155.363563 0.439741
158.351590 0.414129
161.397085 0.389522
164.501153 0.366241
167.664919 0.342513
170.889533 0.318329
174.176163 0.293679
177.526004 0.268555
180.940271 0.242948
184.420203 0.216848
187.967062 0.190247
191.582136 0.163134
195.266737 0.135499
199.022202 0.107333
202.849894 0.082901
206.751202 0.059493
210.727542 0.035635
214.780357 0.011318
218.911117 -0.013467
223.121323 -0.038728
227.412501 -0.064475
231.786209 -0.090717
236.244034 -0.117464
240.787595 -0.144726
245.418539 -0.172511
250.138548 -0.200369
254.949335 -0.213198
259.852645 -0.226274
264.850257 -0.239601
269.943987 -0.253184
275.135681 -0.267028
280.427224 -0.281139
285.820538 -0.295521
291.317577 -0.310180
296.920339 -0.325121
302.630856 -0.340349
308.451200 -0.355870
314.383484 -0.371689
320.429860 -0.387813
326.592524 -0.404247
332.873710 -0.420997
339.275700 -0.438069
345.800815 -0.455469
352.451425 -0.473204
359.229943 -0.491280
366.138828 -0.509704
373.180589 -0.528482
380.357780 -0.547621
387.673006 -0.567128
395.128922 -0.587010
402.728234 -0.601819
410.473700 -0.606982
418.368130 -0.612245
426.414390 -0.617610
434.615400 -0.623077
442.974135 -0.628649
451.493630 -0.634329
460.176975 -0.640118
469.027323 -0.646018
478.047885 -0.652032
487.241935 -0.658161
496.612810 -0.664409
506.163909 -0.670776
515.898700 -0.677266
525.820716 -0.683880
535.933556 -0.690622
546.240892 -0.697494
556.746463 -0.704498
567.454082 -0.711636
578.367636 -0.718912
589.491084 -0.726327
600.828464 -0.733886
612.383890 -0.741589
624.161555 -0.749441
636.165735 -0.757444
648.400784 -0.765601
660.871144 -0.773914
673.581340 -0.782388
686.535985 -0.791024
699.739780 -0.799827
713.197516 -0.808798
726.914079 -0.817943
740.894445 -0.827263
755.143688 -0.836762
769.666979 -0.846445
784.469590 -0.856313
799.556892 -0.866371
814.934360 -0.876623
830.607574 -0.887072
846.582224 -0.897721
862.864106 -0.908576
879.459130 -0.919639
896.373316 -0.930916
913.612805 -0.942409
931.183852 -0.954123
949.092834 -0.966062
967.346250 -0.978231
985.950724 -0.990634
1004.913009 -1.002948
1024.239986 -1.014544
1043.938669 -1.026363
1064.016207 -1.038410
1084.479885 -1.050688
1105.337131 -1.063202
1126.595513 -1.075957
1148.262748 -1.088958
1170.346697 -1.102208
1192.855375 -1.115713
1215.796951 -1.129478
1239.179751 -1.143508
1263.012260 -1.157807
1287.303127 -1.172382
1312.061169 -1.187237
1337.295369 -1.202377
1363.014885 -1.217809
1389.229052 -1.233537
1415.947382 -1.249568
1443.179573 -1.265908
1470.935506 -1.282561
1499.225255 -1.299535
1528.059086 -1.316835
1557.447463 -1.334468
1587.401052 -1.352441
1617.930723 -1.370758
1649.047555 -1.389429
