# DecayCore target curve
# Target: BK_Medium
# Frequency_Hz Magnitude_dB
10.000000 3.500000
10.192325 3.500000
10.388349 3.500000
10.588142 3.500000
10.791779 3.500000
10.999331 3.500000
11.210876 3.500000
11.426489 3.500000
11.646249 3.500000
11.870235 3.500000
12.098529 3.500000
12.331214 3.500000
12.568374 3.500000
12.810095 3.500000
13.056465 3.500000
13.307573 3.500000
13.563511 3.500000
13.824371 3.500000
14.090248 3.500000
14.361239 3.500000
14.637441 3.500000
14.918956 3.500000
15.205884 3.500000
15.498331 3.500000
15.796403 3.500000
16.100207 3.500000
16.409854 3.500000
16.725456 3.500000
17.047128 3.500000
17.374987 3.500000
17.709151 3.500000
18.049742 3.500000
18.396884 3.500000
18.750701 3.500000
19.111324 3.500000
19.478882 3.500000
19.853510 3.500000
20.235342 3.495293
20.624518 3.487510
21.021179 3.479576
21.425468 3.471491
21.837533 3.463249
22.257524 3.454850
22.685591 3.446288
23.121891 3.437562
23.566583 3.428668
24.019827 3.419603
24.481788 3.410364
24.952634 3.400947
25.432535 3.386691
25.921666 3.371641
26.420204 3.356301
26.928330 3.340667
27.446229 3.324731
27.974088 3.308490
28.512099 3.291935
29.060458 3.275063
29.619363 3.257866
30.189017 3.240338
30.769627 3.222473
31.361403 3.204265
31.964561 3.189069
32.579319 3.174604
33.205901 3.159861
33.844533 3.144835
34.495447 3.129519
35.158880 3.113909
35.835073 3.097998
36.524271 3.081782
37.226723 3.065254
37.942686 3.048407
38.672418 3.031237
39.416185 3.013737
40.174256 2.994772
40.946907 2.971593
41.734418 2.947967
42.537075 2.923888
43.355168 2.899345
44.188996 2.874330
45.038860 2.848834
45.905070 2.822848
46.787938 2.796362
47.687787 2.769366
48.604942 2.741852
49.539735 2.713808
50.492508 2.684846
51.463604 2.654966
52.453377 2.624511
53.462186 2.593471
54.490397 2.561834
55.538383 2.529588
56.606524 2.496722
57.695209 2.463224
58.804831 2.429082
59.935794 2.394283
61.088509 2.358815
62.263393 2.322665
63.460873 2.289156
64.681383 2.260438
65.925367 2.231168
67.193276 2.201335
68.485570 2.170928
69.802717 2.139936
71.145197 2.108348
72.513496 2.076153
73.908111 2.043339
75.329548 2.009893
76.778323 1.975804
78.254961 1.941060
79.759998 1.905647
81.293982 1.867650
82.857467 1.828563
84.451022 1.788724
86.075226 1.748119
87.730666 1.706733
89.417945 1.664551
91.137675 1.621558
92.890479 1.577738
94.676994 1.533075
96.497868 1.487553
98.353762 1.441156
100.245349 1.396074
102.173317 1.365227
104.138364 1.333786
106.141204 1.301741
108.182563 1.269079
110.263183 1.235789
112.383818 1.201859
114.545239 1.167276
116.748228 1.132028
118.993587 1.096103
121.282130 1.059486
123.614687 1.022165
125.992105 0.988662
128.415247 0.960969
130.884991 0.932743
133.402235 0.903974
135.967892 0.874653
138.582893 0.844767
141.248187 0.814306
143.964741 0.783260
146.733541 0.751617
149.555592 0.719365
152.431918 0.686492
155.363563 0.652988
158.351590 0.618839
161.397085 0.586029
164.501153 0.554988
167.664919 0.523351
170.889533 0.491105
174.176163 0.458238
177.526004 0.424740
180.940271 0.390597
184.420203 0.355798
187.967062 0.320329
191.582136 0.284179
195.266737 0.247333
199.022202 0.209778
202.849894 0.177201
206.751202 0.145990
210.727542 0.114180
214.780357 0.081757
218.911117 0.048711
223.121323 0.015029
227.412501 -0.019300
231.786209 -0.054290
236.244034 -0.089952
240.787595 -0.126301
245.418539 -0.163348
250.138548 -0.200462
254.949335 -0.216498
259.852645 -0.232842
264.850257 -0.249501
269.943987 -0.266480
275.135681 -0.283786
280.427224 -0.301424
285.820538 -0.319402
291.317577 -0.337725
296.920339 -0.356401
302.630856 -0.375436
308.451200 -0.394837
314.383484 -0.414612
320.429860 -0.434766
326.592524 -0.455308
332.873710 -0.476246
339.275700 -0.497586
345.800815 -0.519336
352.451425 -0.541505
359.229943 -0.564100
366.138828 -0.587129
373.180589 -0.610602
380.357780 -0.634526
387.673006 -0.658910
395.128922 -0.683763
402.728234 -0.702728
410.473700 -0.710474
418.368130 -0.718368
426.414390 -0.726414
434.615400 -0.734615
442.974135 -0.742974
451.493630 -0.751494
460.176975 -0.760177
469.027323 -0.769027
478.047885 -0.778048
487.241935 -0.787242
496.612810 -0.796613
506.163909 -0.806164
515.898700 -0.815899
525.820716 -0.825821
535.933556 -0.835934
546.240892 -0.846241
556.746463 -0.856746
567.454082 -0.867454
578.367636 -0.878368
589.491084 -0.889491
600.828464 -0.900828
612.383890 -0.912384
624.161555 -0.924162
636.165735 -0.936166
648.400784 -0.948401
660.871144 -0.960871
673.581340 -0.973581
686.535985 -0.986536
699.739780 -0.999740
713.197516 -1.013198
726.914079 -1.026914
740.894445 -1.040894
755.143688 -1.055144
769.666979 -1.069667
784.469590 -1.084470
799.556892 -1.099557
814.934360 -1.114934
830.607574 -1.130608
846.582224 -1.146582
862.864106 -1.162864
879.459130 -1.179459
896.373316 -1.196373
913.612805 -1.213613
931.183852 -1.231184
949.092834 -1.249093
967.346250 -1.267346
985.950724 -1.285951
1004.913009 -1.303439
1024.239986 -1.316968
1043.938669 -1.330757
1064.016207 -1.344811
1084.479885 -1.359136
1105.337131 -1.373736
1126.595513 -1.388617
1148.262748 -1.403784
1170.346697 -1.419243
1192.855375 -1.434999
1215.796951 -1.451058
1239.179751 -1.467426
1263.012260 -1.484109
1287.303127 -1.501112
1312.061169 -1.518443
1337.295369 -1.536107
1363.014885 -1.554110
1389.229052 -1.572460
1415.947382 -1.591163
1443.179573 -1.610226
1470.935506 -1.629655
1499.225255 -1.649458
1528.059086 -1.669641
1557.447463 -1.690213
1587.401052 -1.711181
1617.930723 -1.732552
1649.047555 -1.754333
1680.762842 -1.776534
1713.088092 -1.799162
1746.035038 -1.822225
1779.615635 -1.845731
1813.842070 -1.869689
1848.726765 -1.894109
1884.282380 -1.918998
1920.521817 -1.944365
1957.458229 -1.970221
1995.105020 -1.996574
2033.475852 -2.013390
2072.584651 -2.029034
2112.445610 -2.044978
2153.073194 -2.061229
2194.482147 -2.077793
2236.687498 -2.094675
2279.704562 -2.111882
2323.548952 -2.129420
2368.236578 -2.147295
2413.783658 -2.165513
2460.206722 -2.184083
2507.522618 -2.203009
2555.748515 -2.222299
2604.901917 -2.241961
2655.000660 -2.262000
2706.062927 -2.282425
2758.107249 -2.303243
2811.152512 -2.324461
2865.217968 -2.346087
2920.323237 -2.368129
2976.488317 -2.390595
3033.733591 -2.413493
3092.079835 -2.436832
3151.548222 -2.460619
3212.160333 -2.484864
3273.938167 -2.509575
3336.904142 -2.534762
3401.081109 -2.560432
3466.492359 -2.586597
3533.161630 -2.613265
3601.113117 -2.640445
3670.371481 -2.668149
3740.961854 -2.696385
3812.909857 -2.725164
3886.241598 -2.754497
3960.983691 -2.784393
4037.163260 -2.809291
4114.807952 -2.828702
4193.945945 -2.848486
4274.605958 -2.868651
4356.817264 -2.889204
4440.609698 -2.910152
4526.013668 -2.931503
4613.060170 -2.953265
4701.780792 -2.975445
4792.207733 -2.998052
4884.373808 -3.021093
4978.312466 -3.044578
5074.057799 -3.068514
5171.644552 -3.092911
5271.108142 -3.117777
5372.484663 -3.143121
5475.810907 -3.168953
5581.124372 -3.195281
5688.463277 -3.222116
5797.866576 -3.249467
5909.373973 -3.277343
6023.025934 -3.305756
6138.863706 -3.334716
6256.929325 -3.364232
6377.265641 -3.394316
6499.916322 -3.424979
6624.925882 -3.456231
6752.339687 -3.488085
6882.203975 -3.520551
7014.565877 -3.553641
7149.473428 -3.587368
7286.975587 -3.621744
7427.122254 -3.656781
7569.964290 -3.692491
7715.553534 -3.728888
7863.942821 -3.765986
8015.186003 -3.801898
8169.337968 -3.821167
8326.454659 -3.840807
8486.593094 -3.860824
8649.811390 -3.881226
8816.168780 -3.902021
8985.725636 -3.923216
9158.543492 -3.944818
9334.685066 -3.966836
9514.214280 -3.989277
9697.196288 -4.012150
9883.697494 -4.035462
10073.785583 -4.059223
10267.529539 -4.083441
10464.999673 -4.108125
10666.267648 -4.133283
10871.406508 -4.158926
11080.490698 -4.185061
11293.596097 -4.211700
11510.800043 -4.238850
11732.181362 -4.266523
11957.820394 -4.294728
12187.799025 -4.323475
12422.200718 -4.352775
12661.110539 -4.382639
12904.615189 -4.413077
13152.803040 -4.444100
13405.764160 -4.475721
13663.590352 -4.507949
13926.375184 -4.540797
14194.214021 -4.574277
14467.204065 -4.608401
14745.444387 -4.643181
15029.035962 -4.678629
15318.081709 -4.714760
15612.686524 -4.751586
15912.957323 -4.789120
16219.003077 -4.827375
16530.934851 -4.866367
16848.865849 -4.906108
17172.911452 -4.946614
17503.189257 -4.987899
17839.819126 -5.029977
18182.923225 -5.072865
18532.626070 -5.116578
18889.054569 -5.161132
19252.338076 -5.206542
19622.608428 -5.252826
20000.000000 -5.300000
