# DecayCore target curve
# Target: BK_Strong
# Frequency_Hz Magnitude_dB
10.000000 4.500000
10.192325 4.500000
10.388349 4.500000
10.588142 4.500000
10.791779 4.500000
10.999331 4.500000
11.210876 4.500000
11.426489 4.500000
11.646249 4.500000
11.870235 4.500000
12.098529 4.500000
12.331214 4.500000
12.568374 4.500000
12.810095 4.500000
13.056465 4.500000
13.307573 4.500000
13.563511 4.500000
13.824371 4.500000
14.090248 4.500000
14.361239 4.500000
14.637441 4.500000
14.918956 4.500000
15.205884 4.500000
15.498331 4.500000
15.796403 4.500000
16.100207 4.500000
16.409854 4.500000
16.725456 4.500000
17.047128 4.500000
17.374987 4.500000
17.709151 4.500000
18.049742 4.500000
18.396884 4.500000
18.750701 4.500000
19.111324 4.500000
19.478882 4.500000
19.853510 4.500000
20.235342 4.495293
20.624518 4.487510
21.021179 4.479576
21.425468 4.471491
21.837533 4.463249
22.257524 4.454850
22.685591 4.446288
23.121891 4.437562
23.566583 4.428668
24.019827 4.419603
24.481788 4.410364
24.952634 4.400947
25.432535 4.386691
25.921666 4.371641
26.420204 4.356301
26.928330 4.340667
27.446229 4.324731
27.974088 4.308490
28.512099 4.291935
29.060458 4.275063
29.619363 4.257866
30.189017 4.240338
30.769627 4.222473
31.361403 4.204265
31.964561 4.183604
32.579319 4.161906
33.205901 4.139792
33.844533 4.117252
34.495447 4.094278
35.158880 4.070863
35.835073 4.046997
36.524271 4.022673
37.226723 3.997880
37.942686 3.972611
38.672418 3.946856
39.416185 3.920605
40.174256 3.893030
40.946907 3.862124
41.734418 3.830623
42.537075 3.798517
43.355168 3.765793
44.188996 3.732440
45.038860 3.698446
45.905070 3.663797
46.787938 3.628482
47.687787 3.592489
48.604942 3.555802
49.539735 3.518411
50.492508 3.481057
51.463604 3.443708
52.453377 3.405639
53.462186 3.366839
54.490397 3.327292
55.538383 3.286985
56.606524 3.245903
57.695209 3.204030
58.804831 3.161353
59.935794 3.117854
61.088509 3.073519
62.263393 3.028331
63.460873 2.983734
64.681383 2.940657
65.925367 2.896752
67.193276 2.852002
68.485570 2.806392
69.802717 2.759904
71.145197 2.712522
72.513496 2.664230
73.908111 2.615008
75.329548 2.564839
76.778323 2.513706
78.254961 2.461590
79.759998 2.408471
81.293982 2.361181
82.857467 2.314276
84.451022 2.266469
86.075226 2.217743
87.730666 2.168080
89.417945 2.117462
91.137675 2.065870
92.890479 2.013286
94.676994 1.959690
96.497868 1.905064
98.353762 1.849387
100.245349 1.794112
102.173317 1.747840
104.138364 1.700679
106.141204 1.652611
108.182563 1.603618
110.263183 1.553684
112.383818 1.502788
114.545239 1.450914
116.748228 1.398043
118.993587 1.344154
121.282130 1.289229
123.614687 1.233248
125.992105 1.188662
128.415247 1.160969
130.884991 1.132743
133.402235 1.103974
135.967892 1.074653
138.582893 1.044767
141.248187 1.014306
143.964741 0.983260
146.733541 0.951617
149.555592 0.919365
152.431918 0.886492
155.363563 0.852988
158.351590 0.818839
161.397085 0.782536
164.501153 0.743736
167.664919 0.704189
170.889533 0.663881
174.176163 0.622798
177.526004 0.580925
180.940271 0.538247
184.420203 0.494747
187.967062 0.450412
191.582136 0.405223
195.266737 0.359166
199.022202 0.312222
202.849894 0.271501
206.751202 0.232488
210.727542 0.192725
214.780357 0.152196
218.911117 0.110889
223.121323 0.068787
227.412501 0.025875
231.786209 -0.017862
236.244034 -0.062440
240.787595 -0.107876
245.418539 -0.154185
250.138548 -0.200554
254.949335 -0.219797
