# DecayCore target curve
# Target: Harman8
# Frequency_Hz Magnitude_dB
10.000000 8.000000
10.192325 8.000000
10.388349 8.000000
10.588142 8.000000
10.791779 8.000000
10.999331 8.000000
11.210876 8.000000
11.426489 8.000000
11.646249 8.000000
11.870235 8.000000
12.098529 8.000000
12.331214 8.000000
12.568374 8.000000
12.810095 8.000000
13.056465 8.000000
13.307573 8.000000
13.563511 8.000000
13.824371 8.000000
14.090248 8.000000
14.361239 8.000000
14.637441 8.000000
14.918956 8.000000
15.205884 8.000000
15.498331 8.000000
15.796403 8.000000
16.100207 8.000000
16.409854 8.000000
16.725456 8.000000
17.047128 8.000000
17.374987 8.000000
17.709151 8.000000
18.049742 8.000000
18.396884 8.000000
18.750701 8.000000
19.111324 8.000000
19.478882 8.000000
19.853510 8.000000
20.235342 7.995293
20.624518 7.987510
21.021179 7.979576
21.425468 7.971491
21.837533 7.963249
22.257524 7.954850
22.685591 7.946288
23.121891 7.937562
23.566583 7.928668
24.019827 7.919603
24.481788 7.910364
24.952634 7.900947
25.432535 7.893346
25.921666 7.885821
26.420204 7.878151
26.928330 7.870333
27.446229 7.862366
27.974088 7.854245
28.512099 7.845968
29.060458 7.837531
29.619363 7.828933
30.189017 7.820169
30.769627 7.811237
31.361403 7.802132
31.964561 7.789069
32.579319 7.774604
33.205901 7.759861
33.844533 7.744835
34.495447 7.729519
35.158880 7.713909
35.835073 7.697998
36.524271 7.681782
37.226723 7.665254
37.942686 7.648407
38.672418 7.631237
39.416185 7.613737
40.174256 7.594772
40.946907 7.571593
41.734418 7.547967
42.537075 7.523888
43.355168 7.499345
44.188996 7.474330
45.038860 7.448834
45.905070 7.422848
46.787938 7.396362
47.687787 7.369366
48.604942 7.341852
49.539735 7.313808
50.492508 7.284846
51.463604 7.254966
52.453377 7.224511
53.462186 7.193471
54.490397 7.161834
55.538383 7.129588
56.606524 7.096722
57.695209 7.063224
58.804831 7.029082
59.935794 6.994283
61.088509 6.958815
62.263393 6.922665
63.460873 6.883734
64.681383 6.840657
65.925367 6.796752
67.193276 6.752002
68.485570 6.706392
69.802717 6.659904
71.145197 6.612522
72.513496 6.564230
73.908111 6.515008
75.329548 6.464839
76.778323 6.413706
78.254961 6.361590
79.759998 6.308471
81.293982 6.248241
82.857467 6.185701
84.451022 6.121959
86.075226 6.056991
87.730666 5.990773
89.417945 5.923282
91.137675 5.854493
92.890479 5.784381
94.676994 5.712920
96.497868 5.640085
98.353762 5.565850
100.245349 5.490186
102.173317 5.413067
104.138364 5.334465
106.141204 5.254352
108.182563 5.172697
110.263183 5.089473
112.383818 5.004647
114.545239 4.918190
116.748228 4.830071
118.993587 4.740257
121.282130 4.648715
123.614687 4.555413
125.992105 4.468820
128.415247 4.392664
130.884991 4.315043
133.402235 4.235930
135.967892 4.155295
138.582893 4.073109
141.248187 3.989343
143.964741 3.903965
146.733541 3.816946
149.555592 3.728253
152.431918 3.637854
155.363563 3.545717
158.351590 3.451807
161.397085 3.330146
164.501153 3.174942
167.664919 3.016754
170.889533 2.855523
174.176163 2.691192
177.526004 2.523700
180.940271 2.352986
184.420203 2.178990
187.967062 2.001647
191.582136 1.820893
195.266737 1.636663
199.022202 1.448890
202.849894 1.320203
206.751202 1.210966
210.727542 1.099629
214.780357 0.986150
218.911117 0.870489
223.121323 0.752603
227.412501 0.632450
231.786209 0.509986
236.244034 0.385167
240.787595 0.257947
245.418539 0.128281
250.138548 -0.000462
254.949335 -0.016498
259.852645 -0.032842
264.850257 -0.049501
269.943987 -0.066480
275.135681 -0.083786
280.427224 -0.101424
285.820538 -0.119402
291.317577 -0.137725
296.920339 -0.156401
302.630856 -0.175436
308.451200 -0.194837
314.383484 -0.214612
320.429860 -0.234766
326.592524 -0.255308
332.873710 -0.276246
339.275700 -0.297586
345.800815 -0.319336
352.451425 -0.341505
359.229943 -0.364100
366.138828 -0.387129
373.180589 -0.410602
380.357780 -0.434526
387.673006 -0.458910
395.128922 -0.483763
402.728234 -0.502274
410.473700 -0.508728
418.368130 -0.515307
426.414390 -0.522012
434.615400 -0.528846
442.974135 -0.535812
451.493630 -0.542911
460.176975 -0.550147
469.027323 -0.557523
478.047885 -0.565040
487.241935 -0.572702
496.612810 -0.580511
506.163909 -0.588470
515.898700 -0.596582
525.820716 -0.604851
535.933556 -0.613278
546.240892 -0.621867
556.746463 -0.630622
567.454082 -0.639545
578.367636 -0.648640
589.491084 -0.657909
600.828464 -0.667357
612.383890 -0.676987
624.161555 -0.686801
636.165735 -0.696805
648.400784 -0.707001
660.871144 -0.717393
673.581340 -0.727984
686.535985 -0.738780
699.739780 -0.749783
713.197516 -0.760998
726.914079 -0.772428
740.894445 -0.784079
755.143688 -0.795953
769.666979 -0.808056
784.469590 -0.820391
799.556892 -0.832964
814.934360 -0.845779
830.607574 -0.858840
846.582224 -0.872152
862.864106 -0.885720
879.459130 -0.899549
896.373316 -0.913644
913.612805 -0.928011
931.183852 -0.942653
949.092834 -0.957577
967.346250 -0.972789
985.950724 -0.988292
1004.913009 -1.003930
1024.239986 -1.019392
1043.938669 -1.035151
1064.016207 -1.051213
1084.479885 -1.067584
1105.337131 -1.084270
1126.595513 -1.101276
1148.262748 -1.118610
1170.346697 -1.136277
1192.855375 -1.154284
1215.796951 -1.172638
1239.179751 -1.191344
1263.012260 -1.210410
1287.303127 -1.229843
1312.061169 -1.249649
1337.295369 -1.269836
1363.014885 -1.290412
1389.229052 -1.311383
1415.947382 -1.332758
1443.179573 -1.354544
1470.935506 -1.376748
1499.225255 -1.399380
1528.059086 -1.422447
1557.447463 -1.445958
1587.401052 -1.469921
1617.930723 -1.494345
1649.047555 -1.519238
1680.762842 -1.544610
1713.088092 -1.570470
1746.035038 -1.596828
1779.615635 -1.623693
1813.842070 -1.651074
1848.726765 -1.678981
1884.282380 -1.707426
1920.521817 -1.736417
1957.458229 -1.765967
1995.105020 -1.796084
2033.475852 -1.816738
2072.584651 -1.836292
2112.445610 -1.856223
2153.073194 -1.876537
2194.482147 -1.897241
2236.687498 -1.918344
2279.704562 -1.939852
2323.548952 -1.961774
2368.236578 -1.984118
