# DecayCore target curve
# Target: HiFi
# Frequency_Hz Magnitude_dB
10.000000 6.000000
10.192325 6.000000
10.388349 6.000000
10.588142 6.000000
10.791779 6.000000
10.999331 6.000000
11.210876 6.000000
11.426489 6.000000
11.646249 6.000000
11.870235 6.000000
12.098529 6.000000
12.331214 6.000000
12.568374 6.000000
12.810095 6.000000
13.056465 6.000000
13.307573 6.000000
13.563511 6.000000
13.824371 6.000000
14.090248 6.000000
14.361239 6.000000
14.637441 6.000000
14.918956 6.000000
15.205884 6.000000
15.498331 6.000000
15.796403 6.000000
16.100207 6.000000
16.409854 6.000000
16.725456 6.000000
17.047128 6.000000
17.374987 6.000000
17.709151 6.000000
18.049742 6.000000
18.396884 6.000000
18.750701 6.000000
19.111324 6.000000
19.478882 6.000000
19.853510 6.000000
20.235342 5.990586
20.624518 5.975019
21.021179 5.959153
21.425468 5.942981
21.837533 5.926499
22.257524 5.909699
22.685591 5.892576
23.121891 5.875124
23.566583 5.857337
24.019827 5.839207
24.481788 5.820728
24.952634 5.801895
25.432535 5.780037
25.921666 5.757462
26.420204 5.734452
26.928330 5.711000
27.446229 5.687097
27.974088 5.662734
28.512099 5.637903
29.060458 5.612594
29.619363 5.586799
30.189017 5.560507
30.769627 5.533710
31.361403 5.506397
31.964561 5.472673
32.579319 5.436511
33.205901 5.399653
33.844533 5.362086
34.495447 5.323797
35.158880 5.284772
35.835073 5.244996
36.524271 5.204455
37.226723 5.163134
37.942686 5.121018
38.672418 5.078093
39.416185 5.034342
40.174256 4.987802
40.946907 4.933717
41.734418 4.878591
42.537075 4.822405
43.355168 4.765138
44.188996 4.706770
45.038860 4.647280
45.905070 4.586645
46.787938 4.524844
47.687787 4.461855
48.604942 4.397654
49.539735 4.332219
50.492508 4.269692
51.463604 4.209932
52.453377 4.149023
53.462186 4.086942
54.490397 4.023668
55.538383 3.959176
56.606524 3.893445
57.695209 3.826449
58.804831 3.758164
59.935794 3.688567
61.088509 3.617630
62.263393 3.545330
63.460873 3.475601
64.681383 3.410986
65.925367 3.345128
67.193276 3.278003
68.485570 3.209587
69.802717 3.139856
71.145197 3.068784
72.513496 2.996344
73.908111 2.922512
75.329548 2.847259
76.778323 2.770559
78.254961 2.692384
79.759998 2.612706
81.293982 2.548241
82.857467 2.485701
84.451022 2.421959
86.075226 2.356991
87.730666 2.290773
89.417945 2.223282
91.137675 2.154493
92.890479 2.084381
94.676994 2.012920
96.497868 1.940085
98.353762 1.865850
100.245349 1.792149
102.173317 1.730454
104.138364 1.667572
106.141204 1.603481
108.182563 1.538158
110.263183 1.471578
112.383818 1.403718
114.545239 1.334552
116.748228 1.264057
118.993587 1.192205
121.282130 1.118972
123.614687 1.044330
125.992105 0.982992
128.415247 0.941453
130.884991 0.899114
133.402235 0.855962
135.967892 0.811979
138.582893 0.767150
141.248187 0.721460
143.964741 0.674890
146.733541 0.627425
149.555592 0.579047
152.431918 0.529739
155.363563 0.479482
158.351590 0.428258
161.397085 0.386029
164.501153 0.354988
167.664919 0.323351
170.889533 0.291105
174.176163 0.258238
177.526004 0.224740
180.940271 0.190597
184.420203 0.155798
187.967062 0.120329
