# DecayCore target curve
# Target: Nearfield
# Frequency_Hz Magnitude_dB
10.000000 2.500000
10.192325 2.500000
10.388349 2.500000
10.588142 2.500000
10.791779 2.500000
10.999331 2.500000
11.210876 2.500000
11.426489 2.500000
11.646249 2.500000
11.870235 2.500000
12.098529 2.500000
12.331214 2.500000
12.568374 2.500000
12.810095 2.500000
13.056465 2.500000
13.307573 2.500000
13.563511 2.500000
13.824371 2.500000
14.090248 2.500000
14.361239 2.500000
14.637441 2.500000
14.918956 2.500000
15.205884 2.500000
15.498331 2.500000
15.796403 2.500000
16.100207 2.500000
16.409854 2.500000
16.725456 2.500000
17.047128 2.500000
17.374987 2.500000
17.709151 2.500000
18.049742 2.500000
18.396884 2.500000
18.750701 2.500000
19.111324 2.500000
19.478882 2.500000
19.853510 2.500000
20.235342 2.495293
20.624518 2.487510
21.021179 2.479576
21.425468 2.471491
21.837533 2.463249
22.257524 2.454850
22.685591 2.446288
23.121891 2.437562
23.566583 2.428668
24.019827 2.419603
24.481788 2.410364
24.952634 2.400947
25.432535 2.386691
25.921666 2.371641
26.420204 2.356301
26.928330 2.340667
27.446229 2.324731
27.974088 2.308490
28.512099 2.291935
29.060458 2.275063
29.619363 2.257866
30.189017 2.240338
30.769627 2.222473
31.361403 2.204265
31.964561 2.189069
32.579319 2.174604
33.205901 2.159861
33.844533 2.144835
34.495447 2.129519
35.158880 2.113909
35.835073 2.097998
36.524271 2.081782
37.226723 2.065254
37.942686 2.048407
38.672418 2.031237
39.416185 2.013737
40.174256 1.996515
40.946907 1.981062
41.734418 1.965312
42.537075 1.949259
43.355168 1.932897
44.188996 1.916220
45.038860 1.899223
45.905070 1.881899
46.787938 1.864241
47.687787 1.846244
48.604942 1.827901
49.539735 1.809205
50.492508 1.784846
51.463604 1.754966
52.453377 1.724511
53.462186 1.693471
54.490397 1.661834
55.538383 1.629588
56.606524 1.596722
57.695209 1.563224
58.804831 1.529082
59.935794 1.494283
61.088509 1.458815
62.263393 1.422665
63.460873 1.389156
64.681383 1.360438
65.925367 1.331168
67.193276 1.301335
68.485570 1.270928
69.802717 1.239936
71.145197 1.208348
72.513496 1.176153
73.908111 1.143339
75.329548 1.109893
76.778323 1.075804
78.254961 1.041060
79.759998 1.005647
81.293982 0.974120
82.857467 0.942851
84.451022 0.910980
86.075226 0.878495
87.730666 0.845387
89.417945 0.811641
91.137675 0.777247
92.890479 0.742190
94.676994 0.706460
96.497868 0.670043
98.353762 0.632925
100.245349 0.596074
102.173317 0.565227
104.138364 0.533786
106.141204 0.501741
108.182563 0.469079
110.263183 0.435789
112.383818 0.401859
114.545239 0.367276
116.748228 0.332028
118.993587 0.296103
121.282130 0.259486
123.614687 0.222165
125.992105 0.194331
128.415247 0.180484
130.884991 0.166371
133.402235 0.151987
135.967892 0.137326
138.582893 0.122383
141.248187 0.107153
143.964741 0.091630
146.733541 0.075808
149.555592 0.059682
152.431918 0.043246
155.363563 0.026494
158.351590 0.009419
161.397085 0.000000
164.501153 0.000000
167.664919 0.000000
170.889533 0.000000
174.176163 0.000000
177.526004 0.000000
180.940271 0.000000
184.420203 0.000000
187.967062 0.000000
191.582136 0.000000
195.266737 0.000000
199.022202 0.000000
202.849894 0.000000
206.751202 0.000000
210.727542 0.000000
214.780357 0.000000
218.911117 0.000000
223.121323 0.000000
227.412501 0.000000
231.786209 0.000000
236.244034 0.000000
240.787595 0.000000
245.418539 0.000000
250.138548 -0.000185
254.949335 -0.006599
259.852645 -0.013137
264.850257 -0.019800
269.943987 -0.026592
275.135681 -0.033514
280.427224 -0.040570
285.820538 -0.047761
291.317577 -0.055090
296.920339 -0.062560
302.630856 -0.070174
308.451200 -0.077935
314.383484 -0.085845
320.429860 -0.093906
326.592524 -0.102123
332.873710 -0.110498
339.275700 -0.119034
345.800815 -0.127734
352.451425 -0.136602
359.229943 -0.145640
366.138828 -0.154852
373.180589 -0.164241
380.357780 -0.173810
387.673006 -0.183564
395.128922 -0.193505
402.728234 -0.201364
410.473700 -0.205237
418.368130 -0.209184
426.414390 -0.213207
434.615400 -0.217308
442.974135 -0.221487
451.493630 -0.225747
460.176975 -0.230088
469.027323 -0.234514
478.047885 -0.239024
487.241935 -0.243621
496.612810 -0.248306
506.163909 -0.253082
515.898700 -0.257949
525.820716 -0.262910
535.933556 -0.267967
546.240892 -0.273120
556.746463 -0.278373
567.454082 -0.283727
578.367636 -0.289184
589.491084 -0.294746
600.828464 -0.300414
612.383890 -0.306192
624.161555 -0.312081
636.165735 -0.318083
648.400784 -0.324200
660.871144 -0.330436
673.581340 -0.336791
686.535985 -0.343268
699.739780 -0.349870
713.197516 -0.356599
726.914079 -0.363457
740.894445 -0.370447
755.143688 -0.377572
769.666979 -0.384833
784.469590 -0.392235
799.556892 -0.399778
814.934360 -0.407467
830.607574 -0.415304
846.582224 -0.423291
862.864106 -0.431432
879.459130 -0.439730
896.373316 -0.448187
913.612805 -0.456806
931.183852 -0.465592
949.092834 -0.474546
967.346250 -0.483673
985.950724 -0.492975
1004.913009 -0.502457
1024.239986 -0.512120
1043.938669 -0.521969
1064.016207 -0.532008
1084.479885 -0.542240
1105.337131 -0.552669
1126.595513 -0.563298
1148.262748 -0.574131
1170.346697 -0.585173
1192.855375 -0.596428
1215.796951 -0.607898
1239.179751 -0.619590
1263.012260 -0.631506
1287.303127 -0.643652
1312.061169 -0.656031
1337.295369 -0.668648
1363.014885 -0.681507
1389.229052 -0.694615
1415.947382 -0.707974
1443.179573 -0.721590
1470.935506 -0.735468
1499.225255 -0.749613
1528.059086 -0.764030
1557.447463 -0.778724
1587.401052 -0.793701
1617.930723 -0.808965
1649.047555 -0.824524
