# DecayCore target curve
# Target: Speech
# Frequency_Hz Magnitude_dB
10.000000 -2.000000
10.192325 -2.000000
10.388349 -2.000000
10.588142 -2.000000
10.791779 -2.000000
10.999331 -2.000000
11.210876 -2.000000
11.426489 -2.000000
11.646249 -2.000000
11.870235 -2.000000
12.098529 -2.000000
12.331214 -2.000000
12.568374 -2.000000
12.810095 -2.000000
13.056465 -2.000000
13.307573 -2.000000
13.563511 -2.000000
13.824371 -2.000000
14.090248 -2.000000
14.361239 -2.000000
14.637441 -2.000000
14.918956 -2.000000
15.205884 -2.000000
15.498331 -2.000000
15.796403 -2.000000
16.100207 -2.000000
16.409854 -2.000000
16.725456 -2.000000
17.047128 -2.000000
17.374987 -2.000000
17.709151 -2.000000
18.049742 -2.000000
18.396884 -2.000000
18.750701 -2.000000
19.111324 -2.000000
19.478882 -2.000000
19.853510 -2.000000
20.235342 -1.990586
20.624518 -1.975019
21.021179 -1.959153
21.425468 -1.942981
21.837533 -1.926499
22.257524 -1.909699
22.685591 -1.892576
23.121891 -1.875124
23.566583 -1.857337
24.019827 -1.839207
24.481788 -1.820728
24.952634 -1.801895
25.432535 -1.780037
25.921666 -1.757462
26.420204 -1.734452
26.928330 -1.711000
27.446229 -1.687097
27.974088 -1.662734
28.512099 -1.637903
29.060458 -1.612594
29.619363 -1.586799
30.189017 -1.560507
30.769627 -1.533710
31.361403 -1.506397
31.964561 -1.483604
32.579319 -1.461906
33.205901 -1.439792
33.844533 -1.417252
34.495447 -1.394278
35.158880 -1.370863
35.835073 -1.346997
36.524271 -1.322673
37.226723 -1.297880
37.942686 -1.272611
38.672418 -1.246856
39.416185 -1.220605
40.174256 -1.196515
40.946907 -1.181062
41.734418 -1.165312
42.537075 -1.149259
43.355168 -1.132897
44.188996 -1.116220
45.038860 -1.099223
45.905070 -1.081899
46.787938 -1.064241
47.687787 -1.046244
48.604942 -1.027901
49.539735 -1.009205
50.492508 -0.984846
51.463604 -0.954966
52.453377 -0.924511
53.462186 -0.893471
54.490397 -0.861834
55.538383 -0.829588
56.606524 -0.796722
57.695209 -0.763224
58.804831 -0.729082
59.935794 -0.694283
61.088509 -0.658815
62.263393 -0.622665
63.460873 -0.589156
64.681383 -0.560438
65.925367 -0.531168
67.193276 -0.501335
68.485570 -0.470928
69.802717 -0.439936
71.145197 -0.408348
72.513496 -0.376153
73.908111 -0.343339
75.329548 -0.309893
76.778323 -0.275804
78.254961 -0.241060
79.759998 -0.205647
81.293982 -0.161181
82.857467 -0.114276
84.451022 -0.066469
86.075226 -0.017743
87.730666 0.031920
89.417945 0.082538
91.137675 0.134130
92.890479 0.186714
94.676994 0.240310
96.497868 0.294936
98.353762 0.350613
100.245349 0.405888
102.173317 0.452160
104.138364 0.499321
106.141204 0.547389
108.182563 0.596382
110.263183 0.646316
112.383818 0.697212
114.545239 0.749086
116.748228 0.801957
118.993587 0.855846
121.282130 0.910771
123.614687 0.966752
125.992105 1.014173
128.415247 1.048789
130.884991 1.084071
133.402235 1.120032
135.967892 1.156684
138.582893 1.194041
141.248187 1.232117
143.964741 1.270925
146.733541 1.310479
149.555592 1.350794
152.431918 1.391885
155.363563 1.433765
158.351590 1.476451
161.397085 1.510478
164.501153 1.533759
167.664919 1.557487
170.889533 1.581671
174.176163 1.606321
177.526004 1.631445
180.940271 1.657052
184.420203 1.683152
187.967062 1.709753
191.582136 1.736866
195.266737 1.764501
199.022202 1.792667
202.849894 1.811400
206.751202 1.827005
210.727542 1.842910
214.780357 1.859121
218.911117 1.875644
223.121323 1.892485
227.412501 1.909650
231.786209 1.927145
236.244034 1.944976
240.787595 1.963150
245.418539 1.981674
250.138548 2.000000
254.949335 2.000000
259.852645 2.000000
264.850257 2.000000
269.943987 2.000000
275.135681 2.000000
280.427224 2.000000
285.820538 2.000000
291.317577 2.000000
296.920339 2.000000
302.630856 2.000000
308.451200 2.000000
314.383484 2.000000
320.429860 2.000000
326.592524 2.000000
332.873710 2.000000
339.275700 2.000000
345.800815 2.000000
352.451425 2.000000
359.229943 2.000000
366.138828 2.000000
373.180589 2.000000
380.357780 2.000000
387.673006 2.000000
395.128922 2.000000
402.728234 1.995453
410.473700 1.982544
418.368130 1.969386
426.414390 1.955976
434.615400 1.942308
442.974135 1.928376
451.493630 1.914177
460.176975 1.899705
469.027323 1.884954
478.047885 1.869920
487.241935 1.854597
496.612810 1.838979
506.163909 1.823060
515.898700 1.806835
525.820716 1.790299
535.933556 1.773444
546.240892 1.756265
556.746463 1.738756
567.454082 1.720910
578.367636 1.702721
589.491084 1.684182
600.828464 1.665286
612.383890 1.646027
624.161555 1.626397
636.165735 1.606390
648.400784 1.585999
660.871144 1.565215
673.581340 1.544031
686.535985 1.522440
699.739780 1.500434
713.197516 1.478004
726.914079 1.455143
740.894445 1.431843
755.143688 1.408094
769.666979 1.383888
784.469590 1.359217
799.556892 1.334072
814.934360 1.308443
830.607574 1.282321
846.582224 1.255696
862.864106 1.228560
879.459130 1.200901
896.373316 1.172711
913.612805 1.143979
931.183852 1.114694
949.092834 1.084845
967.346250 1.054423
985.950724 1.023415
1004.913009 0.995087
1024.239986 0.975760
1043.938669 0.956061
1064.016207 0.935984
1084.479885 0.915520
1105.337131 0.894663
1126.595513 0.873404
1148.262748 0.851737
1170.346697 0.829653
1192.855375 0.807145
1215.796951 0.784203
1239.179751 0.760820
1263.012260 0.736988
1287.303127 0.712697
1312.061169 0.687939
1337.295369 0.662705
1363.014885 0.636985
1389.229052 0.610771
1415.947382 0.584053
1443.179573 0.556820
1470.935506 0.529064
1499.225255 0.500775
1528.059086 0.471941
1557.447463 0.442553
1587.401052 0.412599
1617.930723 0.382069
1649.047555 0.350952
1680.762842 0.319237
1713.088092 0.286912
1746.035038 0.253965
1779.615635 0.220384
1813.842070 0.186158
1848.726765 0.151273
1884.282380 0.115718
1920.521817 0.079478
1957.458229 0.042542
1995.105020 0.004895
2033.475852 -0.025107
2072.584651 -0.054438
2112.445610 -0.084334
2153.073194 -0.114805
2194.482147 -0.145862
2236.687498 -0.177516
2279.704562 -0.209778
2323.548952 -0.242662
2368.236578 -0.276177
2413.783658 -0.310338
2460.206722 -0.345155
2507.522618 -0.380642
2555.748515 -0.416811
2604.901917 -0.453676
2655.000660 -0.491250
2706.062927 -0.529547
2758.107249 -0.568580
2811.152512 -0.608364
2865.217968 -0.648913
2920.323237 -0.690242
2976.488317 -0.732366
3033.733591 -0.775300
3092.079835 -0.819060
3151.548222 -0.863661
3212.160333 -0.909120
3273.938167 -0.955454
3336.904142 -1.002678
3401.081109 -1.050811
3466.492359 -1.099869
3533.161630 -1.149871
3601.113117 -1.200835
3670.371481 -1.252779
3740.961854 -1.305721
3812.909857 -1.359682
3886.241598 -1.414681
3960.983691 -1.470738
4037.163260 -1.518582
4114.807952 -1.557404
4193.945945 -1.596973
4274.605958 -1.637303
4356.817264 -1.678409
4440.609698 -1.720305
4526.013668 -1.763007
4613.060170 -1.806530
4701.780792 -1.850890
4792.207733 -1.896104
4884.373808 -1.942187
4978.312466 -1.989156
5074.057799 -2.037029
5171.644552 -2.085822
5271.108142 -2.135554
5372.484663 -2.186242
5475.810907 -2.237905
5581.124372 -2.290562
5688.463277 -2.344232
5797.866576 -2.398933
5909.373973 -2.454687
6023.025934 -2.511513
6138.863706 -2.569432
6256.929325 -2.628465
6377.265641 -2.688633
6499.916322 -2.749958
6624.925882 -2.812463
6752.339687 -2.876170
6882.203975 -2.941102
7014.565877 -3.007283
7149.473428 -3.074737
7286.975587 -3.143488
7427.122254 -3.213561
7569.964290 -3.284982
7715.553534 -3.357777
7863.942821 -3.431971
8015.186003 -3.504746
8169.337968 -3.552918
8326.454659 -3.602017
8486.593094 -3.652060
8649.811390 -3.703066
8816.168780 -3.755053
8985.725636 -3.808039
9158.543492 -3.862045
9334.685066 -3.917089
9514.214280 -3.973192
9697.196288 -4.030374
9883.697494 -4.088655
10073.785583 -4.148058
10267.529539 -4.208603
10464.999673 -4.270312
10666.267648 -4.333209
10871.406508 -4.397315
11080.490698 -4.462653
11293.596097 -4.529249
11510.800043 -4.597125
11732.181362 -4.666307
11957.820394 -4.736819
12187.799025 -4.808687
12422.200718 -4.881938
12661.110539 -4.956597
12904.615189 -5.032692
13152.803040 -5.110251
13405.764160 -5.189301
13663.590352 -5.269872
13926.375184 -5.351992
14194.214021 -5.435692
14467.204065 -5.521001
14745.444387 -5.607951
15029.035962 -5.696574
15318.081709 -5.786901
15612.686524 -5.878965
15912.957323 -5.972799
16219.003077 -6.109502
16530.934851 -6.265467
16848.865849 -6.424433
17172.911452 -6.586456
17503.189257 -6.751595
17839.819126 -6.919910
18182.923225 -7.091462
18532.626070 -7.266313
18889.054569 -7.444527
19252.338076 -7.626169
19622.608428 -7.811304
20000.000000 -8.000000
