# DecayCore target curve
# Target: Studio
# Frequency_Hz Magnitude_dB
10.000000 3.000000
10.192325 3.000000
10.388349 3.000000
10.588142 3.000000
10.791779 3.000000
10.999331 3.000000
11.210876 3.000000
11.426489 3.000000
11.646249 3.000000
11.870235 3.000000
12.098529 3.000000
12.331214 3.000000
12.568374 3.000000
12.810095 3.000000
13.056465 3.000000
13.307573 3.000000
13.563511 3.000000
13.824371 3.000000
14.090248 3.000000
14.361239 3.000000
14.637441 3.000000
14.918956 3.000000
15.205884 3.000000
15.498331 3.000000
15.796403 3.000000
16.100207 3.000000
16.409854 3.000000
16.725456 3.000000
17.047128 3.000000
17.374987 3.000000
17.709151 3.000000
18.049742 3.000000
18.396884 3.000000
18.750701 3.000000
19.111324 3.000000
19.478882 3.000000
19.853510 3.000000
20.235342 2.981173
20.624518 2.950039
21.021179 2.918306
21.425468 2.885963
21.837533 2.852997
22.257524 2.819398
22.685591 2.785153
23.121891 2.750249
23.566583 2.714673
24.019827 2.678414
24.481788 2.641457
24.952634 2.603789
25.432535 2.573382
25.921666 2.543282
26.420204 2.512603
26.928330 2.481334
27.446229 2.449463
27.974088 2.416979
28.512099 2.383871
29.060458 2.350126
29.619363 2.315732
30.189017 2.280676
30.769627 2.244946
31.361403 2.208529
31.964561 2.178138
32.579319 2.149209
33.205901 2.119722
33.844533 2.089669
34.495447 2.059038
35.158880 2.027817
35.835073 1.995997
36.524271 1.963564
37.226723 1.930507
37.942686 1.896815
38.672418 1.862474
39.416185 1.827474
40.174256 1.793030
40.946907 1.762124
41.734418 1.730623
42.537075 1.698517
43.355168 1.665793
44.188996 1.632440
45.038860 1.598446
45.905070 1.563797
46.787938 1.528482
47.687787 1.492489
48.604942 1.455802
49.539735 1.418411
50.492508 1.384846
51.463604 1.354966
52.453377 1.324511
53.462186 1.293471
54.490397 1.261834
55.538383 1.229588
56.606524 1.196722
57.695209 1.163224
58.804831 1.129082
59.935794 1.094283
61.088509 1.058815
62.263393 1.022665
63.460873 0.989156
64.681383 0.960438
65.925367 0.931168
67.193276 0.901335
68.485570 0.870928
69.802717 0.839936
71.145197 0.808348
72.513496 0.776153
73.908111 0.743339
75.329548 0.709893
76.778323 0.675804
78.254961 0.641060
79.759998 0.605647
81.293982 0.574120
82.857467 0.542851
84.451022 0.510980
86.075226 0.478495
87.730666 0.445387
89.417945 0.411641
91.137675 0.377247
92.890479 0.342190
94.676994 0.306460
96.497868 0.270043
98.353762 0.232925
100.245349 0.198037
102.173317 0.182613
104.138364 0.166893
106.141204 0.150870
108.182563 0.134539
110.263183 0.117895
112.383818 0.100929
114.545239 0.083638
116.748228 0.066014
118.993587 0.048051
121.282130 0.029743
123.614687 0.011083
125.992105 -0.011338
128.415247 -0.039031
130.884991 -0.067257
133.402235 -0.096026
135.967892 -0.125347
138.582893 -0.155233
141.248187 -0.185694
143.964741 -0.216740
146.733541 -0.248383
149.555592 -0.280635
152.431918 -0.313508
155.363563 -0.347012
158.351590 -0.381161
161.397085 -0.413971
164.501153 -0.445012
167.664919 -0.476649
170.889533 -0.508895
174.176163 -0.541762
177.526004 -0.575260
180.940271 -0.609403
184.420203 -0.644202
187.967062 -0.679671
191.582136 -0.715821
195.266737 -0.752667
199.022202 -0.790222
202.849894 -0.822799
206.751202 -0.854010
210.727542 -0.885820
214.780357 -0.918243
218.911117 -0.951289
223.121323 -0.984971
227.412501 -1.019300
231.786209 -1.054290
236.244034 -1.089952
240.787595 -1.126301
245.418539 -1.163348
250.138548 -1.200554
254.949335 -1.219797
259.852645 -1.239411
264.850257 -1.259401
269.943987 -1.279776
275.135681 -1.300543
280.427224 -1.321709
285.820538 -1.343282
291.317577 -1.365270
296.920339 -1.387681
302.630856 -1.410523
308.451200 -1.433805
314.383484 -1.457534
320.429860 -1.481719
326.592524 -1.506370
332.873710 -1.531495
339.275700 -1.557103
345.800815 -1.583203
352.451425 -1.609806
359.229943 -1.636920
366.138828 -1.664555
373.180589 -1.692722
380.357780 -1.721431
387.673006 -1.750692
395.128922 -1.780516
402.728234 -1.802728
410.473700 -1.810474
418.368130 -1.818368
426.414390 -1.826414
434.615400 -1.834615
442.974135 -1.842974
451.493630 -1.851494
460.176975 -1.860177
469.027323 -1.869027
478.047885 -1.878048
487.241935 -1.887242
496.612810 -1.896613
506.163909 -1.906164
515.898700 -1.915899
525.820716 -1.925821
535.933556 -1.935934
546.240892 -1.946241
556.746463 -1.956746
567.454082 -1.967454
578.367636 -1.978368
589.491084 -1.989491
600.828464 -2.000828
612.383890 -2.012384
624.161555 -2.024162
636.165735 -2.036166
648.400784 -2.048401
660.871144 -2.060871
673.581340 -2.073581
686.535985 -2.086536
699.739780 -2.099740
713.197516 -2.113198
726.914079 -2.126914
740.894445 -2.140894
755.143688 -2.155144
769.666979 -2.169667
784.469590 -2.184470
799.556892 -2.199557
814.934360 -2.214934
830.607574 -2.230608
846.582224 -2.246582
862.864106 -2.262864
879.459130 -2.279459
