# DecayCore target curve
# Target: Toole
# Frequency_Hz Magnitude_dB
10.000000 2.500000
10.192325 2.500000
10.388349 2.500000
10.588142 2.500000
10.791779 2.500000
10.999331 2.500000
11.210876 2.500000
11.426489 2.500000
11.646249 2.500000
11.870235 2.500000
12.098529 2.500000
12.331214 2.500000
12.568374 2.500000
12.810095 2.500000
13.056465 2.500000
13.307573 2.500000
13.563511 2.500000
13.824371 2.500000
14.090248 2.500000
14.361239 2.500000
14.637441 2.500000
14.918956 2.500000
15.205884 2.500000
15.498331 2.500000
15.796403 2.500000
16.100207 2.500000
16.409854 2.500000
16.725456 2.500000
17.047128 2.500000
17.374987 2.500000
17.709151 2.500000
18.049742 2.500000
18.396884 2.500000
18.750701 2.500000
19.111324 2.500000
19.478882 2.500000
19.853510 2.500000
20.235342 2.497263
20.624518 2.492738
21.021179 2.488126
21.425468 2.483425
21.837533 2.478633
22.257524 2.473750
22.685591 2.468772
23.121891 2.463699
23.566583 2.458528
24.019827 2.453258
24.481788 2.447886
24.952634 2.442411
25.432535 2.436831
25.921666 2.431143
26.420204 2.425346
26.928330 2.419438
27.446229 2.413416
27.974088 2.407278
28.512099 2.401022
29.060458 2.394646
29.619363 2.388147
30.189017 2.381523
30.769627 2.374772
31.361403 2.367891
31.964561 2.360877
32.579319 2.353729
33.205901 2.346443
33.844533 2.339017
34.495447 2.331448
35.158880 2.323734
35.835073 2.315871
36.524271 2.307857
37.226723 2.299689
37.942686 2.291364
38.672418 2.282879
39.416185 2.274230
40.174256 2.265416
40.946907 2.256431
41.734418 2.247274
42.537075 2.237941
43.355168 2.228428
44.188996 2.218733
45.038860 2.208850
45.905070 2.198778
46.787938 2.188512
47.687787 2.178049
48.604942 2.167384
49.539735 2.156515
50.492508 2.145436
51.463604 2.134144
52.453377 2.122635
53.462186 2.110905
54.490397 2.098949
55.538383 2.086763
56.606524 2.074343
57.695209 2.061684
58.804831 2.048781
59.935794 2.035630
61.088509 2.022227
62.263393 2.008565
63.460873 1.993772
64.681383 1.977279
65.925367 1.960468
67.193276 1.943334
68.485570 1.925871
69.802717 1.908071
71.145197 1.889930
72.513496 1.871439
73.908111 1.852593
75.329548 1.833384
76.778323 1.813806
78.254961 1.793852
79.759998 1.773514
81.293982 1.752784
82.857467 1.731656
84.451022 1.710121
86.075226 1.688173
87.730666 1.665802
89.417945 1.643001
91.137675 1.619761
92.890479 1.596075
94.676994 1.571933
96.497868 1.547326
98.353762 1.522246
100.245349 1.498773
102.173317 1.489133
104.138364 1.479308
106.141204 1.469294
108.182563 1.459087
110.263183 1.448684
112.383818 1.438081
114.545239 1.427274
116.748228 1.416259
118.993587 1.405032
121.282130 1.393589
123.614687 1.381927
125.992105 1.370039
128.415247 1.357924
130.884991 1.345575
133.402235 1.332989
135.967892 1.320161
138.582893 1.307086
141.248187 1.293759
143.964741 1.280176
146.733541 1.266332
149.555592 1.252222
152.431918 1.237840
155.363563 1.223182
158.351590 1.208242
161.397085 1.193015
164.501153 1.177494
167.664919 1.161675
170.889533 1.145552
174.176163 1.129119
177.526004 1.112370
180.940271 1.095299
184.420203 1.077899
187.967062 1.060165
191.582136 1.042089
195.266737 1.023666
199.022202 1.004889
202.849894 0.992875
206.751202 0.983122
210.727542 0.973181
214.780357 0.963049
218.911117 0.952722
223.121323 0.942197
227.412501 0.931469
231.786209 0.920534
236.244034 0.909390
240.787595 0.898031
245.418539 0.886454
250.138548 0.874654
254.949335 0.862627
259.852645 0.850368
264.850257 0.837874
269.943987 0.825140
275.135681 0.812161
280.427224 0.798932
285.820538 0.785449
291.317577 0.771706
296.920339 0.757699
302.630856 0.743423
308.451200 0.728872
314.383484 0.714041
320.429860 0.698925
326.592524 0.683519
332.873710 0.667816
339.275700 0.651811
345.800815 0.635498
352.451425 0.618871
359.229943 0.601925
366.138828 0.584653
373.180589 0.567049
380.357780 0.549106
387.673006 0.530817
395.128922 0.512178
402.728234 0.497726
410.473700 0.491272
418.368130 0.484693
426.414390 0.477988
434.615400 0.471154
442.974135 0.464188
451.493630 0.457089
460.176975 0.449853
469.027323 0.442477
478.047885 0.434960
487.241935 0.427298
496.612810 0.419489
506.163909 0.411530
515.898700 0.403418
525.820716 0.395149
535.933556 0.386722
546.240892 0.378133
556.746463 0.369378
567.454082 0.360455
578.367636 0.351360
589.491084 0.342091
600.828464 0.332643
612.383890 0.323013
624.161555 0.313199
636.165735 0.303195
648.400784 0.292999
660.871144 0.282607
673.581340 0.272016
686.535985 0.261220
699.739780 0.250217
713.197516 0.239002
726.914079 0.227572
740.894445 0.215921
755.143688 0.204047
769.666979 0.191944
784.469590 0.179609
799.556892 0.167036
814.934360 0.154221
830.607574 0.141160
846.582224 0.127848
862.864106 0.114280
879.459130 0.100451
896.373316 0.086356
913.612805 0.071989
931.183852 0.057347
949.092834 0.042423
967.346250 0.027211
985.950724 0.011708
1004.913009 -0.004913
1024.239986 -0.024240
1043.938669 -0.043939
1064.016207 -0.064016
1084.479885 -0.084480
1105.337131 -0.105337
1126.595513 -0.126596
1148.262748 -0.148263
1170.346697 -0.170347
1192.855375 -0.192855
1215.796951 -0.215797
1239.179751 -0.239180
1263.012260 -0.263012
1287.303127 -0.287303
1312.061169 -0.312061
1337.295369 -0.337295
1363.014885 -0.363015
1389.229052 -0.389229
1415.947382 -0.415947
1443.179573 -0.443180
1470.935506 -0.470936
1499.225255 -0.499225
1528.059086 -0.528059
1557.447463 -0.557447
1587.401052 -0.587401
1617.930723 -0.617931
1649.047555 -0.649048
1680.762842 -0.680763
1713.088092 -0.713088
1746.035038 -0.746035
1779.615635 -0.779616
1813.842070 -0.813842
1848.726765 -0.848727
1884.282380 -0.884282
